('Total Revenue', '270,010,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         789317 function calls (764828 primitive calls) in 1.586 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  142/137    0.000    0.000    0.003    0.000 css_parser.py:395(freeze)
     10/8    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1287(create_module)
     2936    0.001    0.000    0.002    0.000 filter.py:721(match)
     10/8    0.002    0.000    0.002    0.000 {built-in method _imp.create_dynamic}
      448    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:162(__enter__)
     6889    0.002    0.000    0.002    0.000 _parser.py:176(append)
      490    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
    13568    0.002    0.000    0.002    0.000 {built-in method builtins.min}
     1813    0.001    0.000    0.002    0.000 typing.py:1188(__setattr__)
    15241    0.002    0.000    0.002    0.000 {method 'end' of 're.Match' objects}
        1    0.000    0.000    0.002    0.002 parse.py:1(<module>)
  241/235    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
     2657    0.001    0.000    0.002    0.000 _htmlparser.py:222(handle_data)
      250    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
        1    0.000    0.000    0.002    0.002 core.py:21(where)
        1    0.000    0.000    0.002    0.002 tempfile.py:1(<module>)
        1    0.000    0.000    0.002    0.002 staggered.py:1(<module>)
        1    0.000    0.000    0.002    0.002 css_types.py:1(<module>)
      122    0.000    0.000    0.002    0.000 typing.py:1458(copy_with)
      841    0.001    0.000    0.002    0.000 contextlib.py:299(helper)
       13    0.000    0.000    0.002    0.000 dataclasses.py:638(_frozen_get_del_attr)
       82    0.000    0.000    0.002    0.000 <frozen abc>:105(__new__)
        1    0.000    0.000    0.002    0.002 _urlparse.py:1(<module>)
        1    0.000    0.000    0.002    0.002 memory.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _common.py:33(wrapper)
        1    0.000    0.000    0.002    0.002 _common.py:51(files)
      240    0.002    0.000    0.002    0.000 {built-in method _io.open_code}
       10    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1295(exec_module)
        1    0.000    0.000    0.002    0.002 _models.py:1101(extract_cookies)
        1    0.000    0.000    0.002    0.002 _common.py:107(from_package)
        1    0.000    0.000    0.002    0.002 _adapters.py:28(get_resource_reader)
        1    0.000    0.000    0.002    0.002 _adapters.py:149(_native)
        1    0.000    0.000    0.002    0.002 _adapters.py:144(_reader)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap_external>:1192(get_resource_reader)
       10    0.001    0.000    0.002    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.002    0.002 _ssl.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _types.py:1(<module>)
      240    0.002    0.000    0.002    0.000 {method 'read' of '_io.BufferedReader' objects}
        2    0.000    0.000    0.002    0.001 _eventloop.py:1(<module>)
      840    0.001    0.000    0.002    0.000 contextlib.py:141(__exit__)
     3547    0.001    0.000    0.002    0.000 _parser.py:293(tell)
        1    0.000    0.000    0.002    0.002 unix_events.py:1(<module>)
      149    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
      122    0.000    0.000    0.002    0.000 _markupbase.py:165(parse_comment)
        1    0.000    0.000    0.002    0.002 pretty.py:1(<module>)
      250    0.000    0.000    0.002    0.000 typing_extensions.py:3474(_collect_parameters)
       18    0.000    0.000    0.002    0.000 dataclasses.py:568(_init_fn)
     1464    0.002    0.000    0.002    0.000 __init__.py:906(_linkage_fixer)
      287    0.000    0.000    0.002    0.000 typing.py:1147(__init__)
        1    0.000    0.000    0.002    0.002 shutil.py:1(<module>)
     2585    0.000    0.000    0.002    0.000 css_parser.py:317(match)
        1    0.000    0.000    0.002    0.002 _status_codes.py:1(<module>)
        1    0.000    0.000    0.002    0.002 header.py:1(<module>)
      390    0.001    0.000    0.002    0.000 enum.py:1562(__and__)
     2264    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
      595    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
     6630    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
       24    0.000    0.000    0.002    0.000 dataclasses.py:627(_repr_fn)
      142    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
        1    0.000    0.000    0.002    0.002 hashlib.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _htmlparser.py:377(prepare_markup)
        1    0.000    0.000    0.001    0.001 dammit.py:775(__init__)
       37    0.000    0.000    0.001    0.000 typing.py:740(Optional)
        1    0.000    0.000    0.001    0.001 _models.py:1249(__init__)
        1    0.000    0.000    0.001    0.001 from_thread.py:1(<module>)
       25    0.000    0.000    0.001    0.000 _readers.py:94(maybe_read_from_SEND_RESPONSE_server)
      250    0.000    0.000    0.001    0.000 _state.py:275(process_event)
      122    0.001    0.000    0.001    0.000 enum.py:254(__set_name__)
      122    0.000    0.000    0.001    0.000 _htmlparser.py:285(handle_comment)
        1    0.000    0.000    0.001    0.001 dammit.py:930(_convert_from)
     1528    0.001    0.000    0.001    0.000 filter.py:538(matches_tag)
        1    0.001    0.001    0.001    0.001 dammit.py:969(_to_unicode)
       13    0.001    0.000    0.001    0.000 __init__.py:355(namedtuple)
        1    0.000    0.000    0.001    0.001 request.py:315(__init__)
     1014    0.001    0.000    0.001    0.000 _parser.py:312(_class_escape)
        1    0.000    0.000    0.001    0.001 _headers.py:1(<module>)
     2048    0.001    0.000    0.001    0.000 typing.py:1134(_is_dunder)
      841    0.001    0.000    0.001    0.000 contextlib.py:104(__init__)
      448    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
     6866    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     2772    0.001    0.000    0.001    0.000 element.py:1820(is_empty_element)
       29    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
        1    0.000    0.000    0.001    0.001 element.py:769(find_all_next)
     4321    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      448    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      340    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      360    0.000    0.000    0.001    0.000 typing.py:723(<genexpr>)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1(<module>)
        1    0.000    0.000    0.001    0.001 events.py:1(<module>)
      841    0.001    0.000    0.001    0.000 contextlib.py:132(__enter__)
     2780    0.001    0.000    0.001    0.000 __init__.py:1065(handle_data)
       57    0.000    0.000    0.001    0.000 _htmlparser.py:127(handle_startendtag)
        1    0.000    0.000    0.001    0.001 request.py:339(full_url)
        1    0.000    0.000    0.001    0.001 request.py:370(_parse)
      369    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      448    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
      480    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      178    0.000    0.000    0.001    0.000 enum.py:390(__setitem__)
      250    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
     1674    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
     7949    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     5546    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      693    0.001    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
     5643    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
        1    0.000    0.000    0.001    0.001 _parseaddr.py:1(<module>)
       29    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1685(path_hook_for_FileFinder)
        2    0.000    0.000    0.001    0.001 __init__.py:71(search_function)
        1    0.000    0.000    0.001    0.001 _common.py:1(<module>)
        1    0.000    0.000    0.001    0.001 lowlevel.py:1(<module>)
        1    0.000    0.000    0.001    0.001 pathlib.py:1(<module>)
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
      299    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
        1    0.000    0.000    0.001    0.001 stapled.py:1(<module>)
        1    0.000    0.000    0.001    0.001 tasks.py:1(<module>)
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
      199    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
     2682    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      631    0.000    0.000    0.001    0.000 {method 'extend' of 'list' objects}
       59    0.000    0.000    0.001    0.000 _util.py:84(validate)
       14    0.000    0.000    0.001    0.000 dataclasses.py:661(_cmp_fn)
      581    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
        1    0.001    0.001    0.001    0.001 selector_events.py:1(<module>)
       29    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
       36    0.000    0.000    0.001    0.000 typing.py:1047(_generic_class_getitem)
      712    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
     1032    0.001    0.000    0.001    0.000 _parser.py:172(__setitem__)
      250    0.001    0.000    0.001    0.000 _state.py:316(_fire_state_triggered_transitions)
        1    0.000    0.000    0.001    0.001 sslproto.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:133(BeautifulSoup)
     7633    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
        3    0.000    0.000    0.001    0.000 typing.py:2780(__new__)
       29    0.000    0.000    0.001    0.000 typing.py:1548(__getitem__)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
     5675    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
       27    0.000    0.000    0.001    0.000 _readers.py:64(_decode_header_lines)
        1    0.000    0.000    0.001    0.001 __init__.py:469(StrFormatStyle)
        1    0.000    0.000    0.001    0.001 ssl.py:430(__new__)
        1    0.000    0.000    0.001    0.001 tls.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __meta__.py:1(<module>)
      250    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
  142/137    0.000    0.000    0.001    0.000 css_parser.py:385(_freeze_relations)
      767    0.000    0.000    0.001    0.000 _parser.py:372(_escape)
     1443    0.000    0.000    0.001    0.000 enum.py:1544(_get_value)
        8    0.000    0.000    0.001    0.000 inspect.py:3308(signature)
      752    0.000    0.000    0.001    0.000 _parser.py:449(_uniq)
        8    0.000    0.000    0.001    0.000 inspect.py:3050(from_callable)
       59    0.001    0.000    0.001    0.000 {method 'fullmatch' of 're.Pattern' objects}
     22/8    0.000    0.000    0.001    0.000 inspect.py:2470(_signature_from_callable)
      232    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1573(<genexpr>)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
        1    0.000    0.000    0.001    0.001 pathlib.py:812(PureWindowsPath)
        1    0.000    0.000    0.001    0.001 sync.py:1(<module>)
        1    0.000    0.000    0.001    0.001 calendar.py:1(<module>)
       13    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
      219    0.000    0.000    0.001    0.000 typing.py:1454(<genexpr>)
     8730    0.001    0.000    0.001    0.000 typing.py:2154(cast)
        3    0.000    0.000    0.001    0.000 _exceptions.py:1(<module>)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1171(exec_module)
      530    0.000    0.000    0.001    0.000 _receivebuffer.py:77(maybe_extract_at_most)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
      123    0.001    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
        1    0.000    0.000    0.001    0.001 _state.py:1(<module>)
        1    0.000    0.000    0.001    0.001 <frozen ntpath>:1(<module>)
     2857    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
       49    0.000    0.000    0.001    0.000 typing.py:1096(_generic_init_subclass)
        3    0.000    0.000    0.001    0.000 typing.py:2761(_make_nmtuple)
       50    0.000    0.000    0.001    0.000 typing.py:885(__init__)
        1    0.000    0.000    0.001    0.001 string.py:69(__init_subclass__)
        1    0.000    0.000    0.001    0.001 message.py:1(<module>)
      575    0.001    0.000    0.001    0.000 enum.py:850(__setattr__)
        1    0.000    0.000    0.001    0.001 http11.py:140(_send_request_headers)
      240    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
      517    0.000    0.000    0.001    0.000 enum.py:726(__call__)
     2773    0.001    0.000    0.001    0.000 __init__.py:290(can_be_empty_element)
        1    0.000    0.000    0.001    0.001 dammit.py:98(EntitySubstitution)
      291    0.000    0.000    0.001    0.000 _receivebuffer.py:57(__bool__)
       50    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.001    0.001 _markupbase.py:1(<module>)
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
       75    0.000    0.000    0.001    0.000 css_parser.py:542(parse_tag_pattern)
        1    0.000    0.000    0.001    0.001 parse.py:1116(_splithost)
      186    0.000    0.000    0.001    0.000 filter.py:616(_attribute_match)
       57    0.000    0.000    0.001    0.000 dataclasses.py:760(_get_field)
        1    0.000    0.000    0.001    0.001 parse.py:1095(_splittype)
